average reward,percentage optimal action
1.35153,55.3292
1.39553,55.3722
1.39742,55.4153
1.37162,55.4589
1.36618,55.5037
1.41741,55.5462
1.37121,55.5902
1.44712,55.6364
1.37256,55.6792
1.40664,55.7213
1.41832,55.7627
1.42121,55.8064
1.43373,55.851
1.3957,55.8939
1.42072,55.9373
1.39235,55.9754
1.41188,56.015
1.37849,56.0529
1.40018,56.0939
1.40829,56.1366
1.37344,56.1759
1.40078,56.2135
1.37807,56.254
1.40819,56.2942
1.43064,56.3329
1.42452,56.3721
1.38704,56.4133
1.43726,56.4534
1.43049,56.4942
1.39806,56.5324
1.38428,56.5699
1.38199,56.6076
1.37302,56.6455
1.34803,56.6807
1.43809,56.7197
1.39636,56.7571
1.38457,56.7929
1.36735,56.828
1.37629,56.8635
1.39182,56.901
1.37855,56.9382
1.37845,56.9762
1.38828,57.0137
1.41432,57.0525
1.40959,57.0887
1.40184,57.127
1.37758,57.1636
1.42281,57.2004
1.39514,57.2376
1.39264,57.2751
1.37346,57.3134
1.3991,57.3492
1.38817,57.3838
1.41372,57.4199
1.3692,57.4565
1.41871,57.4931
1.39901,57.5296
1.38452,57.5661
1.41166,57.6005
1.42958,57.6354
1.43596,57.6727
1.41823,57.7094
1.42104,57.7455
1.41354,57.7824
1.38862,57.8179
1.38966,57.8546
1.4151,57.8926
1.40042,57.9292
1.40911,57.967
1.40984,58.002
1.3985,58.0359
1.43826,58.0716
1.41844,58.1063
1.43244,58.1417
1.42065,58.1742
1.40258,58.2068
1.40644,58.2413
1.39581,58.2751
1.39052,58.3123
1.45069,58.3485
1.39183,58.3818
1.40662,58.4142
1.39982,58.4459
1.41782,58.4765
1.40094,58.508
1.36774,58.5424
1.40846,58.5739
1.39627,58.6056
1.39364,58.6369
1.38397,58.6696
1.45501,58.7017
1.39733,58.7337
1.37213,58.7666
1.37408,58.7992
1.44682,58.8311
1.41108,58.8629
1.45374,58.8942
1.39777,58.9224
1.44496,58.9556
1.37015,58.9855
1.40601,59.017
1.39056,59.0498
1.48638,59.0818
1.41298,59.1142
1.38824,59.1418
1.39762,59.1712
1.40656,59.2037
1.40827,59.2342
1.40006,59.2641
1.41171,59.2933
1.37254,59.3225
1.41493,59.3544
1.37462,59.3837
1.43501,59.4146
1.41567,59.4429
1.42712,59.4737
1.36266,59.5031
1.44371,59.5317
1.39699,59.5593
1.38978,59.5865
1.41642,59.6159
1.41472,59.6484
1.36205,59.6789
1.4566,59.7089
1.38144,59.7365
1.40545,59.7663
1.4132,59.7947
1.37792,59.8229
1.42753,59.8529
1.38237,59.8822
1.34617,59.9109
1.41728,59.9385
1.39343,59.9658
1.41614,59.9946
1.48043,60.0255
1.47437,60.0556
1.40502,60.0852
1.42278,60.1132
1.38642,60.1405
1.4474,60.1673
1.45071,60.1961
1.37608,60.2232
1.39577,60.2525
1.44746,60.2802
1.39723,60.3091
1.38691,60.3382
1.39672,60.3661
1.41675,60.3944
1.40624,60.4202
1.47183,60.4477
1.3803,60.4745
1.41795,60.5035
1.39857,60.5315
1.41439,60.5577
1.40186,60.585
1.44005,60.6132
1.37669,60.6391
1.41532,60.6661
1.4057,60.6957
1.43296,60.7233
1.4151,60.749
1.36173,60.7758
1.40501,60.8023
1.42068,60.8302
1.41706,60.8577
1.37094,60.8855
1.42824,60.9132
1.43987,60.9399
1.42792,60.9682
1.41548,60.9953
1.364,61.0229
1.43828,61.051
1.42231,61.0758
1.41947,61.1023
1.42002,61.1292
1.42868,61.1573
1.45562,61.1822
1.44762,61.2077
1.39432,61.2339
1.44263,61.2585
1.38184,61.2828
1.40677,61.3093
1.42434,61.3352
1.43729,61.363
1.42924,61.3888
1.43674,61.4148
1.39803,61.4398
1.40546,61.4664
1.44239,61.4922
1.42621,61.5183
1.43351,61.5454
1.4506,61.5714
1.42802,61.5961
1.42624,61.6231
1.38418,61.6472
1.43111,61.671
1.41905,61.6966
1.41034,61.7208
1.44751,61.748
1.41144,61.7744
1.4165,61.7969
1.44067,61.8211
1.40867,61.8458
1.43497,61.8711
1.4344,61.8959
1.44039,61.9199
1.44277,61.9452
1.43982,61.9694
1.43527,61.996
1.3913,62.0203
1.41922,62.0456
1.44717,62.0713
1.39067,62.0963
1.42528,62.1211
1.43897,62.1445
1.41026,62.1693
1.43088,62.1943
1.40462,62.2188
1.39312,62.2425
1.39606,62.2658
1.40817,62.289
1.43021,62.3126
1.40876,62.3353
1.44726,62.3595
1.41169,62.3827
1.46427,62.4072
1.48423,62.4295
1.45369,62.4531
1.4295,62.4755
1.44201,62.4982
1.41762,62.5199
1.42117,62.5428
1.41449,62.5653
1.38254,62.5891
1.35046,62.6118
1.45949,62.6368
1.42202,62.6599
1.45954,62.682
1.40669,62.7049
1.41145,62.7274
1.42644,62.7505
1.41424,62.7727
1.41132,62.7959
1.45212,62.818
1.38055,62.84
1.41503,62.8623
1.45007,62.8863
1.39301,62.9069
1.40036,62.9293
1.43264,62.951
1.45295,62.9721
1.5009,62.9944
1.43845,63.0165
1.44112,63.0369
1.46663,63.0592
1.42535,63.0805
1.46415,63.1034
1.43296,63.1249
1.43877,63.1469
1.43876,63.1674
1.41753,63.189
1.44539,63.2106
1.47865,63.2314
1.39696,63.2522
1.45537,63.2747
1.44079,63.2968
1.45826,63.318
1.43657,63.3406
1.42882,63.3628
1.42573,63.3847
1.40285,63.4056
1.4397,63.4264
1.37571,63.4461
1.43683,63.4678
1.42386,63.4875
1.48225,63.5075
1.4557,63.5273
1.43,63.5471
1.47063,63.5677
1.41968,63.5885
1.38253,63.6084
1.43221,63.6291
1.4272,63.6507
1.46232,63.6708
1.43275,63.6924
1.41945,63.7111
1.42968,63.7332
1.38142,63.753
1.44935,63.7739
1.42309,63.7945
1.44218,63.8133
1.47196,63.8333
1.44181,63.8535
1.43792,63.8725
1.44109,63.8908
1.43654,63.9112
1.4216,63.931
1.43917,63.9502
1.45801,63.9683
1.41889,63.9874
1.49647,64.0079
1.42648,64.0263
1.3951,64.0466
1.42878,64.0668
1.44183,64.0873
1.44407,64.1063
1.41586,64.1256
1.40977,64.1422
1.38528,64.1606
1.42868,64.1816
1.37836,64.1996
1.4787,64.2187
1.37723,64.2364
1.45232,64.2557
1.40868,64.2756
1.4191,64.2957
1.49322,64.3162
1.44811,64.3357
1.4956,64.3555
1.38875,64.3738
1.39836,64.3911
1.44354,64.4099
1.46927,64.4282
1.40969,64.4461
1.42604,64.466
1.44115,64.4843
1.40347,64.5016
1.42931,64.5202
1.42937,64.5403
1.42955,64.5572
1.43443,64.5752
1.40541,64.5918
1.42682,64.6101
1.457,64.6279
1.47714,64.6469
1.40078,64.6632
1.43537,64.6817
1.40388,64.6996
1.45231,64.718
1.49462,64.7378
1.442,64.7554
1.40889,64.7754
1.42571,64.7949
1.45132,64.8133
1.39555,64.8308
1.36918,64.8472
1.45487,64.8652
1.45161,64.8834
1.4727,64.9007
1.4463,64.9186
1.42143,64.935
1.38842,64.952
1.39533,64.969
1.40857,64.9866
1.42982,65.0038
1.42138,65.0195
1.41043,65.0363
1.43617,65.054
1.42308,65.0721
1.44753,65.0893
1.39086,65.1072
1.48789,65.1253
1.44822,65.1426
1.41551,65.1586
1.44129,65.1766
1.4707,65.1945
1.39572,65.2123
1.45109,65.2292
1.4425,65.2465
1.45482,65.2632
1.45929,65.2786
1.3875,65.2944
1.4188,65.3101
1.3772,65.3259
1.4397,65.3415
1.44549,65.3584
1.41682,65.3757
1.45878,65.3942
1.44009,65.4112
1.43034,65.4269
1.42888,65.4422
1.41608,65.4584
1.43786,65.4764
1.47439,65.4927
1.4269,65.5106
1.4176,65.5264
1.44151,65.5423
1.40936,65.558
1.42811,65.5751
1.44989,65.591
1.41315,65.6071
1.4337,65.6217
1.43504,65.638
1.40459,65.6542
1.44746,65.6719
1.44572,65.6884
1.40941,65.7049
1.41504,65.7218
1.47329,65.7383
1.45166,65.7548
1.45788,65.7685
1.41424,65.7839
1.40376,65.7994
1.39507,65.8142
1.44834,65.8312
1.44162,65.8476
1.36959,65.8633
1.39949,65.8795
1.49692,65.8949
1.42264,65.9111
1.45985,65.9264
1.44347,65.9426
1.42437,65.9572
1.42688,65.9729
1.41102,65.9884
1.43292,66.0048
1.46965,66.0205
1.48514,66.0377
1.49646,66.0546
1.49472,66.0713
1.46219,66.088
1.4614,66.1023
1.44448,66.1177
1.43948,66.133
1.4544,66.149
1.42911,66.1653
1.37122,66.1799
1.37029,66.195
1.40023,66.2111
1.47833,66.2272
1.42325,66.243
1.42336,66.2572
1.46803,66.2726
1.46723,66.2874
1.43288,66.3018
1.46601,66.3176
1.37634,66.3311
1.43528,66.3444
1.38568,66.3578
1.46616,66.3729
1.43791,66.3871
1.37679,66.3993
1.44157,66.4142
1.43589,66.4282
1.47658,66.4432
1.40598,66.4577
1.46697,66.4723
1.45263,66.4876
1.45203,66.5021
1.41532,66.5169
1.42285,66.5311
1.46346,66.5468
1.4587,66.5614
1.42597,66.5755
1.48235,66.5913
1.46261,66.606
1.42105,66.62
1.3866,66.6346
1.43838,66.6488
1.427,66.663
1.39691,66.6764
1.44381,66.6902
1.37141,66.7027
1.43104,66.7177
1.46171,66.7329
1.46446,66.7484
1.42946,66.7629
1.4686,66.7774
1.43067,66.7904
1.43898,66.8047
1.44522,66.819
1.4382,66.832
1.48494,66.8464
1.43353,66.8597
1.42071,66.8731
1.4465,66.8856
1.44021,66.8999
1.45112,66.9147
1.42938,66.9281
1.46894,66.9415
1.42141,66.9552
1.47267,66.9696
1.4017,66.9828
1.40913,66.9967
1.45238,67.0097
1.39685,67.0226
1.40048,67.0359
1.41529,67.0498
1.44283,67.064
1.44093,67.0786
1.43809,67.0919
1.42987,67.1051
1.43349,67.1183
1.43012,67.1318
1.46779,67.1442
1.44371,67.1573
1.44999,67.1705
1.45263,67.1825
1.43707,67.1951
1.45068,67.2084
1.45937,67.2215
1.42597,67.2347
1.48252,67.2483
1.43517,67.2603
1.39937,67.2735
1.44155,67.2869
1.42615,67.3
1.41516,67.3128
1.37399,67.3264
1.45695,67.3396
1.40718,67.3523
1.42453,67.365
1.46317,67.3788
1.42589,67.3919
1.40812,67.4042
1.38207,67.416
1.44801,67.4288
1.4268,67.4415
1.37422,67.453
1.45988,67.4663
1.41521,67.4796
1.44576,67.4918
1.41973,67.5042
1.45484,67.5161
1.46789,67.5297
1.44686,67.5433
1.42355,67.5559
1.40455,67.5679
1.43388,67.5817
1.41961,67.5936
1.40143,67.6072
1.43069,67.6199
1.45694,67.6327
1.48524,67.645
1.41576,67.6574
1.49822,67.6712
1.46658,67.6843
1.41035,67.6963
1.4595,67.7088
1.43363,67.7214
1.45431,67.7336
1.42679,67.7464
1.39102,67.7587
1.46042,67.7717
1.427,67.7841
1.43723,67.7982
1.46679,67.8113
1.42095,67.8228
1.43829,67.8348
1.44335,67.8479
1.41904,67.8605
1.4588,67.8731
1.45475,67.886
1.41375,67.8985
1.47446,67.9117
1.49723,67.9248
1.44171,67.9366
1.44639,67.9496
1.40986,67.9631
