game number,percentage won,percentage lost,percentage draw
1,40,46,14
2,36,42,22
3,36,54,10
4,54,34,12
5,48,30,22
6,32,56,12
7,28,48,24
8,34,58,8
9,46,28,26
10,46,40,14
11,42,48,10
12,50,28,22
13,40,52,8
14,54,36,10
15,44,42,14
16,42,42,16
17,44,48,8
18,46,38,16
19,50,38,12
20,52,36,12
21,40,44,16
22,28,52,20
23,58,30,12
24,36,50,14
25,60,22,18
26,50,32,18
27,50,36,14
28,38,48,14
29,50,28,22
30,40,40,20
31,46,42,12
32,52,40,8
33,36,44,20
34,50,32,18
35,56,30,14
36,68,22,10
37,56,34,10
38,52,32,16
39,56,34,10
40,54,40,6
41,56,14,30
42,54,38,8
43,62,22,16
44,60,16,24
45,52,30,18
46,48,28,24
47,50,36,14
48,46,40,14
49,62,20,18
50,60,22,18
51,56,24,20
52,54,32,14
53,54,26,20
54,54,26,20
55,54,28,18
56,62,16,22
57,44,32,24
58,58,22,20
59,42,28,30
60,52,28,20
61,60,18,22
62,42,40,18
63,66,22,12
64,56,32,12
65,50,32,18
66,48,26,26
67,52,26,22
68,56,24,20
69,44,26,30
70,66,16,18
71,64,18,18
72,40,28,32
73,42,28,30
74,56,22,22
75,60,22,18
76,60,24,16
77,56,22,22
78,58,22,20
79,48,28,24
80,38,32,30
81,54,24,22
82,54,20,26
83,48,32,20
84,40,26,34
85,60,28,12
86,62,14,24
87,58,22,20
88,44,38,18
89,50,28,22
90,58,22,20
91,66,20,14
92,56,22,22
93,62,18,20
94,44,26,30
95,56,18,26
96,50,34,16
97,50,32,18
98,64,18,18
99,62,14,24
100,56,14,30
101,56,24,20
102,58,20,22
103,52,30,18
104,42,24,34
105,58,24,18
106,56,18,26
107,46,22,32
108,46,32,22
109,58,24,18
110,52,26,22
111,56,24,20
112,50,18,32
113,56,12,32
114,52,18,30
115,46,18,36
116,62,14,24
117,60,24,16
118,60,14,26
119,62,22,16
120,52,18,30
121,62,16,22
122,58,22,20
123,56,20,24
124,48,24,28
125,46,26,28
126,44,18,38
127,54,20,26
128,48,20,32
129,52,24,24
130,50,22,28
131,68,8,24
132,54,22,24
133,56,22,22
134,60,18,22
135,50,32,18
136,66,20,14
137,62,22,16
138,52,12,36
139,56,16,28
140,44,22,34
141,56,18,26
142,54,26,20
143,54,24,22
144,62,20,18
145,60,22,18
146,56,20,24
147,44,26,30
148,62,16,22
149,56,18,26
150,46,16,38
